,Date,Adj close,Close,High,Low,Open,Volume
0,2023-11-06,134.5,134.5,135.64999389648438,128.0,133.0,209080
1,2023-11-07,127.80000305175781,127.80000305175781,135.64999389648438,127.80000305175781,135.64999389648438,210215
2,2023-11-08,125.0,125.0,130.0,121.44999694824219,124.0,370078
3,2023-11-09,122.0,122.0,127.69999694824219,119.05000305175781,127.6500015258789,84168
4,2023-11-10,120.8499984741211,120.8499984741211,125.9000015258789,119.75,125.9000015258789,109387
5,2023-11-13,123.25,123.25,126.0,121.1500015258789,125.0,51344
6,2023-11-15,124.8499984741211,124.8499984741211,126.94999694824219,123.0,123.0,82807
7,2023-11-16,122.19999694824219,122.19999694824219,126.0,121.5999984741211,126.0,84406
8,2023-11-17,116.69999694824219,116.69999694824219,124.6500015258789,116.0999984741211,124.6500015258789,218952
9,2023-11-20,114.75,114.75,118.19999694824219,110.9000015258789,116.69999694824219,170065
10,2023-11-21,114.19999694824219,114.19999694824219,117.0,112.5,116.94999694824219,55951
11,2023-11-22,113.69999694824219,113.69999694824219,117.0,112.55000305175781,114.1500015258789,53617
12,2023-11-23,111.5999984741211,111.5999984741211,114.8499984741211,110.8499984741211,113.5,85959
13,2023-11-24,112.25,112.25,113.80000305175781,109.3499984741211,112.94999694824219,92071
14,2023-11-28,110.94999694824219,110.94999694824219,114.05000305175781,110.0,114.0,119849
15,2023-11-29,111.25,111.25,115.6500015258789,110.55000305175781,111.0999984741211,92418
16,2023-11-30,114.30000305175781,114.30000305175781,115.44999694824219,112.0,115.44999694824219,57610
17,2023-12-01,116.44999694824219,116.44999694824219,119.94999694824219,114.30000305175781,114.30000305175781,73276
18,2023-12-04,117.30000305175781,117.30000305175781,121.5,117.0,120.0,65803
19,2023-12-05,115.0999984741211,115.0999984741211,119.94999694824219,114.69999694824219,119.94999694824219,52612
20,2023-12-06,112.19999694824219,112.19999694824219,119.75,111.30000305175781,119.75,112821
21,2023-12-07,109.3499984741211,109.3499984741211,114.94999694824219,108.05000305175781,114.5,168192
22,2023-12-08,114.80000305175781,114.80000305175781,114.80000305175781,109.0,109.0,47419
23,2023-12-11,120.5,120.5,120.5,120.5,120.5,38346
24,2023-12-12,126.5,126.5,126.5,126.5,126.5,55170
25,2023-12-13,132.8000030517578,132.8000030517578,132.8000030517578,132.8000030517578,132.8000030517578,28192
26,2023-12-14,139.39999389648438,139.39999389648438,139.39999389648438,139.39999389648438,139.39999389648438,39199
27,2023-12-15,146.35000610351562,146.35000610351562,146.35000610351562,139.89999389648438,146.35000610351562,881952
28,2023-12-18,153.64999389648438,153.64999389648438,153.64999389648438,140.3000030517578,148.75,382884
29,2023-12-19,161.3000030517578,161.3000030517578,161.3000030517578,161.3000030517578,161.3000030517578,29062
30,2023-12-20,168.5500030517578,168.5500030517578,169.35000610351562,155.0,161.3000030517578,681941
31,2023-12-21,163.8000030517578,163.8000030517578,175.0,160.14999389648438,169.5500030517578,686165
32,2023-12-22,171.8000030517578,171.8000030517578,171.9499969482422,166.89999389648438,166.9499969482422,479940
33,2023-12-26,180.35000610351562,180.35000610351562,180.35000610351562,175.25,178.85000610351562,521180
34,2023-12-27,173.14999389648438,173.14999389648438,185.5,171.35000610351562,184.0,689023
