,Date,Adj close,Close,High,Low,Open,Volume
0,2024-10-28,160.96490478515625,161.9499969482422,200.0,160.50999450683594,200.0,7640370
1,2024-10-29,156.29348754882812,157.25,169.89999389648438,155.0,161.0,2052812
2,2024-10-31,159.81195068359375,160.7899932861328,165.2899932861328,160.2100067138672,163.6999969482422,328820
3,2024-11-01,159.99085998535156,160.97000122070312,162.38999938964844,160.10000610351562,161.6999969482422,124267
4,2024-11-04,153.31173706054688,154.25,162.9499969482422,152.6999969482422,162.9499969482422,553939
5,2024-11-06,158.04278564453125,159.00999450683594,162.3000030517578,154.5500030517578,155.8000030517578,631348
6,2024-11-07,157.77442932128906,158.74000549316406,165.22000122070312,157.9499969482422,160.0,513600
7,2024-11-08,154.75291442871094,155.6999969482422,159.39999389648438,154.63999938964844,158.99000549316406,211588
8,2024-11-11,152.7650909423828,153.6999969482422,156.94000244140625,152.89999389648438,155.38999938964844,165684
9,2024-11-12,149.72369384765625,150.63999938964844,155.52999877929688,150.0,154.85000610351562,216642
10,2024-11-13,145.19143676757812,146.0800018310547,150.50999450683594,144.8000030517578,150.0500030517578,213234
11,2024-11-14,147.23890686035156,148.13999938964844,149.75,144.5800018310547,146.35000610351562,156802
12,2024-11-18,143.4023895263672,144.27999877929688,149.99000549316406,143.5,148.14999389648438,144267
13,2024-11-19,143.3924560546875,144.27000427246094,147.47000122070312,143.0,144.14999389648438,168123
14,2024-11-21,140.59954833984375,141.4600067138672,143.50999450683594,139.10000610351562,143.50999450683594,188757
15,2024-11-22,149.50503540039062,150.4199981689453,155.44000244140625,140.92999267578125,142.0,314729
16,2024-11-25,154.82249450683594,155.77000427246094,158.25,151.61000061035156,154.99000549316406,1367300
17,2024-11-26,154.97158813476562,155.9199981689453,157.58999633789062,153.5,155.02000427246094,331290
18,2024-11-27,156.28355407714844,157.24000549316406,164.8000030517578,155.61000061035156,157.9499969482422,295832
19,2024-11-28,159.1162109375,160.08999633789062,162.19000244140625,156.4499969482422,157.47999572753906,361634
20,2024-11-29,169.979736328125,171.02000427246094,174.0,160.08999633789062,160.1999969482422,1520269
21,2024-12-02,168.7572021484375,169.7899932861328,179.94000244140625,168.0500030517578,170.75,1118297
22,2024-12-03,168.7472686767578,169.77999877929688,175.0,169.1699981689453,170.0,398880
23,2024-12-04,172.1265869140625,173.17999267578125,179.8000030517578,170.11000061035156,170.6999969482422,631556
24,2024-12-05,173.83612060546875,174.89999389648438,178.6999969482422,172.25,175.99000549316406,356492
25,2024-12-06,192.66091918945312,193.83999633789062,198.5,183.0,184.4499969482422,5895921
26,2024-12-09,185.77308654785156,186.91000366210938,196.39999389648438,185.16000366210938,194.85000610351562,763296
27,2024-12-10,178.96473693847656,180.05999755859375,188.1999969482422,178.0,186.89999389648438,572350
28,2024-12-11,182.73170471191406,183.85000610351562,189.0,179.00999450683594,179.5500030517578,508225
29,2024-12-12,190.50411987304688,191.6699981689453,204.89999389648438,183.6300048828125,185.6999969482422,3986839
30,2024-12-13,197.580810546875,198.7899932861328,206.0,189.0399932861328,190.0,3228813
31,2024-12-16,196.97451782226562,198.17999267578125,210.0,196.10000610351562,200.00999450683594,1801919
32,2024-12-17,191.3191375732422,192.49000549316406,199.0,192.0,198.0,643076
33,2024-12-18,195.0562744140625,196.25,197.7899932861328,191.0,192.14999389648438,658498
34,2024-12-19,190.6432647705078,191.80999755859375,195.85000610351562,190.30999755859375,191.35000610351562,559710
35,2024-12-20,188.44671630859375,189.60000610351562,204.9499969482422,187.0,193.5,1428147
36,2024-12-23,185.17672729492188,186.30999755859375,194.0399932861328,185.0,193.13999938964844,492116
37,2024-12-24,181.4197235107422,182.52999877929688,193.17999267578125,181.5500030517578,185.60000610351562,490298
38,2024-12-26,203.05731201171875,204.3000030517578,207.0,182.8000030517578,183.05999755859375,2150379
39,2024-12-27,200.64207458496094,201.8699951171875,214.0,198.5,207.0,2405000
40,2024-12-30,189.10269165039062,190.25999450683594,203.0,189.0,201.99000549316406,711530
41,2024-12-31,191.6471405029297,192.82000732421875,194.89999389648438,190.0,190.3000030517578,453129
42,2025-01-01,192.53172302246094,193.7100067138672,195.5500030517578,191.49000549316406,193.0,262328
43,2025-01-02,193.00880432128906,194.19000244140625,199.89999389648438,192.14999389648438,194.3800048828125,380346
44,2025-01-03,188.78465270996094,189.94000244140625,196.39999389648438,189.00999450683594,195.8000030517578,349542
45,2025-01-06,185.93211364746094,187.07000732421875,199.6999969482422,184.72000122070312,195.1999969482422,775247
46,2025-01-07,192.7503662109375,193.92999267578125,195.10000610351562,187.92999267578125,190.5,250408
47,2025-01-08,189.12257385253906,190.27999877929688,196.0,188.27000427246094,195.10000610351562,218723
48,2025-01-09,182.02601623535156,183.13999938964844,190.6999969482422,182.25,190.6999969482422,198665
49,2025-01-10,177.7720489501953,178.86000061035156,183.25,172.4199981689453,183.1699981689453,338861
50,2025-01-13,165.81521606445312,166.8300018310547,177.80999755859375,165.0,175.0,323521
51,2025-01-14,167.86268615722656,168.88999938964844,172.19000244140625,166.38999938964844,170.17999267578125,228909
52,2025-01-15,170.15863037109375,171.1999969482422,173.39999389648438,164.50999450683594,170.0,244706
53,2025-01-16,170.88418579101562,171.92999267578125,176.2899932861328,170.10000610351562,172.0,140090
54,2025-01-17,169.7908935546875,170.8300018310547,172.99000549316406,168.97000122070312,172.27999877929688,97795
55,2025-01-20,172.1961669921875,173.25,174.0,171.0,171.0,96362
56,2025-01-21,168.2900848388672,169.32000732421875,173.8000030517578,169.0,173.8000030517578,111537
57,2025-01-22,164.2448272705078,165.25,168.39999389648438,163.1699981689453,168.10000610351562,1041110
58,2025-01-23,177.75216674804688,178.83999633789062,183.0,165.0,165.0,615153
59,2025-01-24,171.39109802246094,172.44000244140625,178.97999572753906,169.11000061035156,175.39999389648438,143995
60,2025-01-27,163.77769470214844,164.77999877929688,170.8000030517578,160.67999267578125,170.8000030517578,219211
61,2025-01-28,160.23934936523438,161.22000122070312,168.0399932861328,155.0,165.89999389648438,163825
62,2025-01-29,166.4215087890625,167.44000244140625,170.4199981689453,160.17999267578125,163.67999267578125,100983
63,2025-01-30,166.6004180908203,167.6199951171875,174.7899932861328,166.57000732421875,168.6999969482422,125486
64,2025-01-31,172.46453857421875,173.52000427246094,175.75,168.0,168.0,143978
65,2025-02-01,169.93997192382812,170.97999572753906,177.38999938964844,168.66000366210938,175.0,145392
66,2025-02-03,168.7174530029297,169.75,171.35000610351562,166.3300018310547,169.97999572753906,57427
67,2025-02-04,168.94606018066406,169.97999572753906,174.16000366210938,169.11000061035156,171.4499969482422,79826
68,2025-02-05,171.82843017578125,172.8800048828125,176.8000030517578,169.41000366210938,170.89999389648438,111057
69,2025-02-06,168.73733520507812,169.77000427246094,178.47000122070312,168.0,173.89999389648438,162342
70,2025-02-07,167.95213317871094,168.97999572753906,172.3800048828125,167.50999450683594,171.0,103507
71,2025-02-10,160.66671752929688,161.64999389648438,169.5800018310547,160.25,168.88999938964844,65520
72,2025-02-11,153.63973999023438,154.5800018310547,163.07000732421875,153.0,161.66000366210938,76980
73,2025-02-12,154.21621704101562,155.16000366210938,159.5,145.35000610351562,159.5,166613
74,2025-02-13,148.1930694580078,149.10000610351562,159.0,147.10000610351562,158.0,102191
75,2025-02-14,141.80218505859375,142.6699981689453,151.75,141.0,149.85000610351562,102864
76,2025-02-17,155.34927368164062,156.3000030517578,158.38999938964844,144.99000549316406,145.0,444746
77,2025-02-18,148.69003295898438,149.60000610351562,156.00999450683594,147.8699951171875,156.00999450683594,102363
78,2025-02-19,151.47299194335938,152.39999389648438,153.25,148.50999450683594,150.33999633789062,86012
79,2025-02-20,157.5458221435547,158.50999450683594,161.0,150.9499969482422,153.47999572753906,101276
80,2025-02-21,156.17422485351562,157.1300048828125,162.77999877929688,156.16000366210938,159.92999267578125,68981
81,2025-02-24,149.5547332763672,150.47000122070312,155.77999877929688,149.41000366210938,154.75,53518
82,2025-02-25,146.91091918945312,147.80999755859375,153.7899932861328,147.0,148.6300048828125,38284
83,2025-02-27,144.95289611816406,145.83999633789062,156.0,137.3699951171875,150.0,106864
